abbreviation,courseNumber,description,title,gradeAverage,letterAverage,openSeats,enrolledPercentage,enrolled,enrolledMax,units
"A,RESEC",201,"Basic concepts of micro and welfare economics: partial and general equilibrium. Industrial organization: monopolistic competition, vertical integration, price discrimination, and economics of information with applications to food retailing, cooperatives, fishing, and energy. ","Production, Industrial Organization, and Regulation in Agriculture",3.7081632653061223,A-,16,0.0,0,16,4.0
"A,RESEC",210,"This is an introduction to probability theory and statistical inference. It is primarily intended to prepare students for the graduate econometrics courses 212 and 213. The emphasis of the course is on the principles of statistical reasoning. Probability theory will be discussed mainly as a background for statistical theory and specific models will, for the most part, be considered only to illustrate the general statistical theory as it is developed. ",Probability and Statistics,3.446496815286624,B+,24,0.0,0,24,4.0
"A,RESEC",213,"Standard and advanced econometric techniques are applied to topics in agriculture and resource economics. Techniques include limited dependent variables, time series analysis, and nonparametric analysis. Students will use computers to conduct statistical analyses. ",Applied Econometrics,3.565950920245398,A-,50,0.0,0,50,4.0
"A,RESEC",219A,"Techniques for preparing econometric studies, including finding data sources, the reporting of results, and standards for placing research questions with existent literature. With faculty guidance, students prepare approved econometric projects, present projects to the class, provide comments on other student projects, and revise projects in response to faculty and student comments. ",Econometric Project Workshop,3.805504587155963,A-,18,0.0,0,18,2.0
"A,RESEC",249,"Presentation and criticism of ongoing research by faculty, staff and students. Not necessarily offered every semester. ","Agricultural, Food, and Resource Policy Workshop",-1.0,,20,0.0,0,20,1.0
"A,RESEC",C251,"Theoretical and empirical analyses of poverty and inequality, household and community behavior, and contract and institutions in the context of developing countries. ",Microeconomics of Development,3.5668965517241373,A-,18,0.0,0,18,3.0
"A,RESEC",259,"Presentation and criticism of ongoing research by faculty, staff and students. Not necessarily offered every semester. ",Rural Economic Development Workshop,-1.0,,21,0.0,0,21,1.0
"A,RESEC",261,"Theory of renewable and nonrenewable natural resource use, with applications to forests, fisheries, energy, and climate change. Resources, growth, and sustainability. Economic theory of environmental policy. Externality; the Coasian critique; tax incidence and anomalies; indirect taxes; the double dividend; environmental standards; environmental regulation; impact of uncertainty on taxes and standards; mechanism design; monitoring, penalties, and regulatory strategy; emissions markets.",Environmental and Resource Economics,3.767857142857143,A-,15,0.0,0,15,3.0
"A,RESEC",269,"Presentation and criticism of ongoing research by faculty, staff, and students. Not necessarily offered every semester. ",Natural Resource Economics Workshop,-1.0,,24,0.0,0,24,1.0
"A,RESEC",298,All properly qualified graduate students who wish to pursue a special field of study may do so if their proposed program of study is acceptable to the member here of the staff with whom they work. ,Special Study for Graduate Students,3.992682926829268,A,2917,0.0,0,2917,1-6
"A,RESEC",375,"Discussion, problem review and development, guidance of discussion classes, course development, supervised practice teaching. ",Professional Preparation: Teaching of Environmental Economics and Policy,-1.0,,4,0.0,0,4,1-6
"A,RESEC",400,"Individual training for graduate students in planning and performing research under the supervision of a faculty adviser, intended to provide academic credit for the experience obtained while holding a research assistantship. ",Professional Training in Research Methodology,-1.0,,1900,0.0,0,1900,1-6
"A,RESEC",602,"Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required for candidates of the Ph.D. May not be used for unit or residence requirements for the doctoral degree. ",Individual Study for Doctoral Students,-1.0,,2999,0.0,0,2999,1-12
ENVECON,C1,"Introduction to microeconomics with emphasis on resource, agricultural, and environmental issues. ",Introduction to Environmental Economics and Policy,3.184878799538284,B+,151,0.0,0,151,4.0
ENVECON,100,"Covers the basic microeconomic tools for further study of natural resource problems. Theory of consumption, production, theory of the firm, industrial organization, general equilibrium, public goods and externalities. Applications to agriculture and natural resources. ",Intermediate Microeconomics with Applications to Sustainability,3.280593109463585,B+,132,0.0,0,132,4.0
ENVECON,C101,Theories of externalities and public goods applied to pollution and environmental policy. Trade-off between production and environmental amenities. Assessing nonmarket value of environmental amenities. Remediation and clean-up policies. Environment and development. Biodiversity management. ,Environmental Economics,3.3183504471679353,B+,120,0.0,0,120,4.0
ENVECON,C118,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis. ",Introductory Applied Econometrics,3.1604104318084656,B+,100,0.0,0,100,4.0
ENVECON,C151,This course covers theory and empirical evidence on the determinants of economic development and the global fight against poverty. The course aims to introduce students to modern empirical research methods that are being used to inform policy making in developing countries. Students also learn how to implement these tools themselves using real-world data sets and widely used statistical software for impact evaluation.,Development Economics,3.297952086553323,B+,68,0.0,0,68,4.0
ENVECON,C181,The theory of international trade and its applications to tariff protection. This course is equivalent to UGBA 118; students will not receive credit for both courses.,International Trade,2.73270750988142,B-,54,0.0,0,54,4
AEROSPC,1A,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. ",Foundations of the U.S. Air Force,3.5231999999999997,A-,88,0.0,0,88,1.0
AEROSPC,2A,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind.  Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management.  Students should demonstrate basic verbal and written communication skills.  Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. ",The Evolution of Air and Space Power,3.6239904988123524,A-,65,0.0,0,65,1.0
AEROSPC,100,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses.  It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership experiences of senior and junior cadets and provides training in basic military knowledge and skills to underclass cadets. Cadets are trained on proper uniform wear, grooming and appearance requirements, physical fitness, knowledge of military customs and courtesies, and military drill and ceremony. ",Leadership Laboratory,-1.0,,68,0.0,0,68,0.0
AEROSPC,135A,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments and oral presentations. ",Leadership Studies,3.6503144654088056,A-,28,0.0,0,28,3.0
AFRICAM,R1B,"Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement. ",Freshman Composition,3.4154308617234466,B+,18,0.0,0,18,4.0
AFRICAM,4A,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems. ",Africa: History and Culture,3.402106567534077,B+,100,0.0,0,100,4.0
AFRICAM,5A,"A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents. ",African American Life and Culture in the United States,3.4302173913043474,B+,100,0.0,0,100,4.0
AFRICAM,10A,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. ",Intermediate Swahili,3.50909090909091,A-,10,0.0,0,10,4.0
AFRICAM,11A,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Swahili. ",Elementary Swahili,3.633918128654971,A-,12,0.0,0,12,4.0
AFRICAM,15A,"This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. ",Advanced Swahili,3.8,A-,20,0.0,0,20,4.0
